Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
4-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-3,No
4-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-3,No
4-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-3,No
4-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-3,No
4-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-3,No
5-0,Current (A),Numeric,A,1,no,Compressor C-5,No
5-1,Current CH1 (A),Numeric,A,1,no,Compressor C-5,No
5-2,Current CH2 (B),Numeric,A,1,no,Compressor C-5,No
5-3,Current CH3 (C),Numeric,A,1,no,Compressor C-5,No
5-4,L-N Voltage (V),Numeric,V,1,no,Compressor C-5,No
5-5,Voltage L1-N (AN),Numeric,V,1,no,Compressor C-5,No
5-6,Voltage L2-N (BN),Numeric,V,1,no,Compressor C-5,No
5-7,Voltage L3-N (CN),Numeric,V,1,no,Compressor C-5,No
5-8,L-L Voltage (V),Numeric,V,1,no,Compressor C-5,No
5-9,Voltage L1-L2,Numeric,V,1,no,Compressor C-5,No
5-10,Voltage L2-L3,Numeric,V,1,no,Compressor C-5,No
5-11,Voltage L3-L1,Numeric,V,1,no,Compressor C-5,No
5-12,Line Frequency,Numeric,Hz,1,no,Compressor C-5,No
5-13,Demand (kW),Numeric,kW,1,no,Compressor C-5,No
5-14,Power CH1 (A),Numeric,kW,1,no,Compressor C-5,No
5-15,Power CH2 (B),Numeric,kW,1,no,Compressor C-5,No
5-16,Power CH3 (C),Numeric,kW,1,no,Compressor C-5,No
5-17,Apparent Power (kVA),Numeric,kVA,1,no,Compressor C-5,No
5-18,VA CH1 (A),Numeric,kVA,1,no,Compressor C-5,No
5-19,VA CH2 (B),Numeric,kVA,1,no,Compressor C-5,No
5-20,VA CH3 (C),Numeric,kVA,1,no,Compressor C-5,No
5-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Compressor C-5,No
5-22,VAR CH1 (A),Numeric,kVAR,1,no,Compressor C-5,No
5-23,VAR CH2 (B),Numeric,kVAR,1,no,Compressor C-5,No
5-24,VAR CH3 (C),Numeric,kVAR,1,no,Compressor C-5,No
5-25,Power Factor (%),Numeric,,1,no,Compressor C-5,No
5-26,Apparent PF CH1 (A),Numeric,,1,no,Compressor C-5,No
5-27,Apparent PF CH2 (B),Numeric,,1,no,Compressor C-5,No
5-28,Apparent PF CH3 (C),Numeric,,1,no,Compressor C-5,No
5-29,Exported Energy Sum,Numeric,kWh,1,no,Compressor C-5,No
5-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-5,No
5-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-5,No
5-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-5,No
5-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Compressor C-5,No
5-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Compressor C-5,No
5-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Compressor C-5,No
5-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Compressor C-5,No
5-37,Exported VAh Sum,Numeric,kVAh,1,no,Compressor C-5,No
5-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-5,No
5-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-5,No
5-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-5,No
5-41,Imported VAh Sum,Numeric,kVAh,1,no,Compressor C-5,No
5-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Compressor C-5,No
5-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,Compressor C-5,No
5-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,Compressor C-5,No
5-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,Compressor C-5,No
5-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,Compressor C-5,No
5-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,Compressor C-5,No
5-48,imported VARh Q1 (C),Numeric,kVARh,1,no,Compressor C-5,No
5-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,Compressor C-5,No
