Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
12-25,Power Factor (%),Numeric,,1,no,EC-1 Pump,No
12-26,Apparent PF CH1 (A),Numeric,,1,no,EC-1 Pump,No
12-27,Apparent PF CH2 (B),Numeric,,1,no,EC-1 Pump,No
12-28,Apparent PF CH3 (C),Numeric,,1,no,EC-1 Pump,No
12-29,Exported Energy Sum,Numeric,kWh,1,no,EC-1 Pump,No
12-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-1 Pump,No
12-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-1 Pump,No
12-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-1 Pump,No
12-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-1 Pump,No
12-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-1 Pump,No
12-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-1 Pump,No
12-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-1 Pump,No
12-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-1 Pump,No
12-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-1 Pump,No
12-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-1 Pump,No
12-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-1 Pump,No
12-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-1 Pump,No
12-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-1 Pump,No
12-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-1 Pump,No
12-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-1 Pump,No
12-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-1 Pump,No
12-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-1 Pump,No
12-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-1 Pump,No
12-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-1 Pump,No
12-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-1 Pump,No
12-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-1 Pump,No
12-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-1 Pump,No
12-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-1 Pump,No
12-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-1 Pump,No
12-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-1 Pump,No
12-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-1 Pump,No
12-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-1 Pump,No
12-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-1 Pump,No
12-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-1 Pump,No
12-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-1 Pump,No
12-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-1 Pump,No
12-61,Watt Demand Element,Numeric,kW,1,no,EC-1 Pump,No
13-0,Current (A),Numeric,A,1,no,EC-2 Fan,No
13-1,Current CH1 (A),Numeric,A,1,no,EC-2 Fan,No
13-2,Current CH2 (B),Numeric,A,1,no,EC-2 Fan,No
13-3,Current CH3 (C),Numeric,A,1,no,EC-2 Fan,No
13-4,L-N Voltage (V),Numeric,V,1,no,EC-2 Fan,No
13-5,Voltage L1-N (AN),Numeric,V,1,no,EC-2 Fan,No
13-6,Voltage L2-N (BN),Numeric,V,1,no,EC-2 Fan,No
13-7,Voltage L3-N (CN),Numeric,V,1,no,EC-2 Fan,No
13-8,L-L Voltage (V),Numeric,V,1,no,EC-2 Fan,No
13-9,Voltage L1-L2,Numeric,V,1,no,EC-2 Fan,No
13-10,Voltage L2-L3,Numeric,V,1,no,EC-2 Fan,No
13-11,Voltage L3-L1,Numeric,V,1,no,EC-2 Fan,No
13-12,Line Frequency,Numeric,Hz,1,no,EC-2 Fan,No
13-13,Demand (kW),Numeric,kW,1,no,EC-2 Fan,No
13-14,Power CH1 (A),Numeric,kW,1,no,EC-2 Fan,No
13-15,Power CH2 (B),Numeric,kW,1,no,EC-2 Fan,No
13-16,Power CH3 (C),Numeric,kW,1,no,EC-2 Fan,No
13-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-2 Fan,No
13-18,VA CH1 (A),Numeric,kVA,1,no,EC-2 Fan,No
13-19,VA CH2 (B),Numeric,kVA,1,no,EC-2 Fan,No
13-20,VA CH3 (C),Numeric,kVA,1,no,EC-2 Fan,No
13-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-2 Fan,No
13-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-2 Fan,No
13-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-2 Fan,No
13-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-2 Fan,No
13-25,Power Factor (%),Numeric,,1,no,EC-2 Fan,No
13-26,Apparent PF CH1 (A),Numeric,,1,no,EC-2 Fan,No
13-27,Apparent PF CH2 (B),Numeric,,1,no,EC-2 Fan,No
13-28,Apparent PF CH3 (C),Numeric,,1,no,EC-2 Fan,No
13-29,Exported Energy Sum,Numeric,kWh,1,no,EC-2 Fan,No
13-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-2 Fan,No
13-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-2 Fan,No
13-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-2 Fan,No
13-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-2 Fan,No
13-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-2 Fan,No
13-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-2 Fan,No
13-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-2 Fan,No
13-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-2 Fan,No
13-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-2 Fan,No
13-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-2 Fan,No
13-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-2 Fan,No
13-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-2 Fan,No
13-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-2 Fan,No
13-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-2 Fan,No
13-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-2 Fan,No
13-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-2 Fan,No
13-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-2 Fan,No
13-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-2 Fan,No
13-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-2 Fan,No
13-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-2 Fan,No
13-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-2 Fan,No
13-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-2 Fan,No
13-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-2 Fan,No
13-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-2 Fan,No
13-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-2 Fan,No
13-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-2 Fan,No
13-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-2 Fan,No
13-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-2 Fan,No
13-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-2 Fan,No
13-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-2 Fan,No
13-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-2 Fan,No
13-61,Watt Demand Element,Numeric,kW,1,no,EC-2 Fan,No
14-0,Current (A),Numeric,A,1,no,EC-2 Pump,No
14-1,Current CH1 (A),Numeric,A,1,no,EC-2 Pump,No
14-2,Current CH2 (B),Numeric,A,1,no,EC-2 Pump,No
14-3,Current CH3 (C),Numeric,A,1,no,EC-2 Pump,No
14-4,L-N Voltage (V),Numeric,V,1,no,EC-2 Pump,No
14-5,Voltage L1-N (AN),Numeric,V,1,no,EC-2 Pump,No
14-6,Voltage L2-N (BN),Numeric,V,1,no,EC-2 Pump,No
14-7,Voltage L3-N (CN),Numeric,V,1,no,EC-2 Pump,No
14-8,L-L Voltage (V),Numeric,V,1,no,EC-2 Pump,No
14-9,Voltage L1-L2,Numeric,V,1,no,EC-2 Pump,No
14-10,Voltage L2-L3,Numeric,V,1,no,EC-2 Pump,No
14-11,Voltage L3-L1,Numeric,V,1,no,EC-2 Pump,No
14-12,Line Frequency,Numeric,Hz,1,no,EC-2 Pump,No
14-13,Demand (kW),Numeric,kW,1,no,EC-2 Pump,No
14-14,Power CH1 (A),Numeric,kW,1,no,EC-2 Pump,No
14-15,Power CH2 (B),Numeric,kW,1,no,EC-2 Pump,No
14-16,Power CH3 (C),Numeric,kW,1,no,EC-2 Pump,No
14-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-2 Pump,No
14-18,VA CH1 (A),Numeric,kVA,1,no,EC-2 Pump,No
14-19,VA CH2 (B),Numeric,kVA,1,no,EC-2 Pump,No
14-20,VA CH3 (C),Numeric,kVA,1,no,EC-2 Pump,No
14-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-2 Pump,No
14-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-2 Pump,No
14-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-2 Pump,No
14-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-2 Pump,No
14-25,Power Factor (%),Numeric,,1,no,EC-2 Pump,No
14-26,Apparent PF CH1 (A),Numeric,,1,no,EC-2 Pump,No
14-27,Apparent PF CH2 (B),Numeric,,1,no,EC-2 Pump,No
14-28,Apparent PF CH3 (C),Numeric,,1,no,EC-2 Pump,No
14-29,Exported Energy Sum,Numeric,kWh,1,no,EC-2 Pump,No
14-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-2 Pump,No
14-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-2 Pump,No
14-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-2 Pump,No
14-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-2 Pump,No
14-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-2 Pump,No
14-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-2 Pump,No
14-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-2 Pump,No
14-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-2 Pump,No
14-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-2 Pump,No
14-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-2 Pump,No
14-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-2 Pump,No
14-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-2 Pump,No
14-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-2 Pump,No
14-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-2 Pump,No
14-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-2 Pump,No
14-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-2 Pump,No
14-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-2 Pump,No
14-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-2 Pump,No
14-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-2 Pump,No
14-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-2 Pump,No
14-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-2 Pump,No
14-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-2 Pump,No
14-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-2 Pump,No
14-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-2 Pump,No
14-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-2 Pump,No
14-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-2 Pump,No
14-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-2 Pump,No
14-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-2 Pump,No
14-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-2 Pump,No
14-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-2 Pump,No
14-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-2 Pump,No
14-61,Watt Demand Element,Numeric,kW,1,no,EC-2 Pump,No
15-0,Current (A),Numeric,A,1,no,EC-3 Fan 1,No
15-1,Current CH1 (A),Numeric,A,1,no,EC-3 Fan 1,No
15-2,Current CH2 (B),Numeric,A,1,no,EC-3 Fan 1,No
15-3,Current CH3 (C),Numeric,A,1,no,EC-3 Fan 1,No
15-4,L-N Voltage (V),Numeric,V,1,no,EC-3 Fan 1,No
15-5,Voltage L1-N (AN),Numeric,V,1,no,EC-3 Fan 1,No
15-6,Voltage L2-N (BN),Numeric,V,1,no,EC-3 Fan 1,No
15-7,Voltage L3-N (CN),Numeric,V,1,no,EC-3 Fan 1,No
15-8,L-L Voltage (V),Numeric,V,1,no,EC-3 Fan 1,No
15-9,Voltage L1-L2,Numeric,V,1,no,EC-3 Fan 1,No
15-10,Voltage L2-L3,Numeric,V,1,no,EC-3 Fan 1,No
15-11,Voltage L3-L1,Numeric,V,1,no,EC-3 Fan 1,No
15-12,Line Frequency,Numeric,Hz,1,no,EC-3 Fan 1,No
15-13,Demand (kW),Numeric,kW,1,no,EC-3 Fan 1,No
15-14,Power CH1 (A),Numeric,kW,1,no,EC-3 Fan 1,No
15-15,Power CH2 (B),Numeric,kW,1,no,EC-3 Fan 1,No
15-16,Power CH3 (C),Numeric,kW,1,no,EC-3 Fan 1,No
15-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-3 Fan 1,No
15-18,VA CH1 (A),Numeric,kVA,1,no,EC-3 Fan 1,No
15-19,VA CH2 (B),Numeric,kVA,1,no,EC-3 Fan 1,No
15-20,VA CH3 (C),Numeric,kVA,1,no,EC-3 Fan 1,No
15-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-3 Fan 1,No
15-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-3 Fan 1,No
15-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-3 Fan 1,No
15-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-3 Fan 1,No
15-25,Power Factor (%),Numeric,,1,no,EC-3 Fan 1,No
15-26,Apparent PF CH1 (A),Numeric,,1,no,EC-3 Fan 1,No
15-27,Apparent PF CH2 (B),Numeric,,1,no,EC-3 Fan 1,No
15-28,Apparent PF CH3 (C),Numeric,,1,no,EC-3 Fan 1,No
15-29,Exported Energy Sum,Numeric,kWh,1,no,EC-3 Fan 1,No
15-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Fan 1,No
15-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Fan 1,No
15-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Fan 1,No
15-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-3 Fan 1,No
15-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Fan 1,No
15-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Fan 1,No
15-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Fan 1,No
15-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-3 Fan 1,No
15-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-3 Fan 1,No
15-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Fan 1,No
15-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-3 Fan 1,No
15-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-3 Fan 1,No
15-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-3 Fan 1,No
15-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-3 Fan 1,No
15-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-3 Fan 1,No
15-61,Watt Demand Element,Numeric,kW,1,no,EC-3 Fan 1,No
16-0,Current (A),Numeric,A,1,no,EC-3 Fan 2,No
16-1,Current CH1 (A),Numeric,A,1,no,EC-3 Fan 2,No
16-2,Current CH2 (B),Numeric,A,1,no,EC-3 Fan 2,No
16-3,Current CH3 (C),Numeric,A,1,no,EC-3 Fan 2,No
16-4,L-N Voltage (V),Numeric,V,1,no,EC-3 Fan 2,No
16-5,Voltage L1-N (AN),Numeric,V,1,no,EC-3 Fan 2,No
16-6,Voltage L2-N (BN),Numeric,V,1,no,EC-3 Fan 2,No
16-7,Voltage L3-N (CN),Numeric,V,1,no,EC-3 Fan 2,No
16-8,L-L Voltage (V),Numeric,V,1,no,EC-3 Fan 2,No
16-9,Voltage L1-L2,Numeric,V,1,no,EC-3 Fan 2,No
16-10,Voltage L2-L3,Numeric,V,1,no,EC-3 Fan 2,No
16-11,Voltage L3-L1,Numeric,V,1,no,EC-3 Fan 2,No
16-12,Line Frequency,Numeric,Hz,1,no,EC-3 Fan 2,No
16-13,Demand (kW),Numeric,kW,1,no,EC-3 Fan 2,No
16-14,Power CH1 (A),Numeric,kW,1,no,EC-3 Fan 2,No
16-15,Power CH2 (B),Numeric,kW,1,no,EC-3 Fan 2,No
16-16,Power CH3 (C),Numeric,kW,1,no,EC-3 Fan 2,No
16-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-3 Fan 2,No
16-18,VA CH1 (A),Numeric,kVA,1,no,EC-3 Fan 2,No
16-19,VA CH2 (B),Numeric,kVA,1,no,EC-3 Fan 2,No
16-20,VA CH3 (C),Numeric,kVA,1,no,EC-3 Fan 2,No
16-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-3 Fan 2,No
16-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-3 Fan 2,No
16-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-3 Fan 2,No
16-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-3 Fan 2,No
16-25,Power Factor (%),Numeric,,1,no,EC-3 Fan 2,No
16-26,Apparent PF CH1 (A),Numeric,,1,no,EC-3 Fan 2,No
16-27,Apparent PF CH2 (B),Numeric,,1,no,EC-3 Fan 2,No
16-28,Apparent PF CH3 (C),Numeric,,1,no,EC-3 Fan 2,No
16-29,Exported Energy Sum,Numeric,kWh,1,no,EC-3 Fan 2,No
16-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Fan 2,No
16-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Fan 2,No
16-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Fan 2,No
16-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-3 Fan 2,No
16-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Fan 2,No
16-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Fan 2,No
16-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Fan 2,No
16-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-3 Fan 2,No
16-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-3 Fan 2,No
16-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Fan 2,No
16-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-3 Fan 2,No
16-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-3 Fan 2,No
16-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-3 Fan 2,No
16-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-3 Fan 2,No
16-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-3 Fan 2,No
16-61,Watt Demand Element,Numeric,kW,1,no,EC-3 Fan 2,No
17-0,Current (A),Numeric,A,1,no,EC-3 Pump,No
17-1,Current CH1 (A),Numeric,A,1,no,EC-3 Pump,No
17-2,Current CH2 (B),Numeric,A,1,no,EC-3 Pump,No
17-3,Current CH3 (C),Numeric,A,1,no,EC-3 Pump,No
17-4,L-N Voltage (V),Numeric,V,1,no,EC-3 Pump,No
17-5,Voltage L1-N (AN),Numeric,V,1,no,EC-3 Pump,No
17-6,Voltage L2-N (BN),Numeric,V,1,no,EC-3 Pump,No
17-7,Voltage L3-N (CN),Numeric,V,1,no,EC-3 Pump,No
17-8,L-L Voltage (V),Numeric,V,1,no,EC-3 Pump,No
17-9,Voltage L1-L2,Numeric,V,1,no,EC-3 Pump,No
17-10,Voltage L2-L3,Numeric,V,1,no,EC-3 Pump,No
17-11,Voltage L3-L1,Numeric,V,1,no,EC-3 Pump,No
17-12,Line Frequency,Numeric,Hz,1,no,EC-3 Pump,No
17-13,Demand (kW),Numeric,kW,1,no,EC-3 Pump,No
17-14,Power CH1 (A),Numeric,kW,1,no,EC-3 Pump,No
17-15,Power CH2 (B),Numeric,kW,1,no,EC-3 Pump,No
17-16,Power CH3 (C),Numeric,kW,1,no,EC-3 Pump,No
17-17,Apparent Power (kVA),Numeric,kVA,1,no,EC-3 Pump,No
17-18,VA CH1 (A),Numeric,kVA,1,no,EC-3 Pump,No
17-19,VA CH2 (B),Numeric,kVA,1,no,EC-3 Pump,No
17-20,VA CH3 (C),Numeric,kVA,1,no,EC-3 Pump,No
17-21,Reactive Power (kVAR),Numeric,kVAR,1,no,EC-3 Pump,No
17-22,VAR CH1 (A),Numeric,kVAR,1,no,EC-3 Pump,No
17-23,VAR CH2 (B),Numeric,kVAR,1,no,EC-3 Pump,No
17-24,VAR CH3 (C),Numeric,kVAR,1,no,EC-3 Pump,No
17-25,Power Factor (%),Numeric,,1,no,EC-3 Pump,No
17-26,Apparent PF CH1 (A),Numeric,,1,no,EC-3 Pump,No
17-27,Apparent PF CH2 (B),Numeric,,1,no,EC-3 Pump,No
17-28,Apparent PF CH3 (C),Numeric,,1,no,EC-3 Pump,No
17-29,Exported Energy Sum,Numeric,kWh,1,no,EC-3 Pump,No
17-30,Exported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Pump,No
17-31,Exported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Pump,No
17-32,Exported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Pump,No
17-33,Cumulative Usage (kWh),Numeric,kWh,1,no,EC-3 Pump,No
17-34,Imported Energy CH1 (A),Numeric,kWh,1,no,EC-3 Pump,No
17-35,Imported Energy CH2 (B),Numeric,kWh,1,no,EC-3 Pump,No
17-36,Imported Energy CH3 (C),Numeric,kWh,1,no,EC-3 Pump,No
17-37,Exported VAh Sum,Numeric,kVAh,1,no,EC-3 Pump,No
17-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Pump,No
17-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Pump,No
17-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Pump,No
17-41,Imported VAh Sum,Numeric,kVAh,1,no,EC-3 Pump,No
17-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,EC-3 Pump,No
17-43,Imported VAh CH2 (B),Numeric,kVAh,1,no,EC-3 Pump,No
17-44,Imported VAh CH3 (C),Numeric,kVAh,1,no,EC-3 Pump,No
17-45,Imported VARh Q1 Sum,Numeric,kVARh,1,no,EC-3 Pump,No
17-46,Imported VARh Q1 (A),Numeric,kVARh,1,no,EC-3 Pump,No
17-47,Imported VARh Q1 (B),Numeric,kVARh,1,no,EC-3 Pump,No
17-48,imported VARh Q1 (C),Numeric,kVARh,1,no,EC-3 Pump,No
17-49,Imported VARh Q2 Sum,Numeric,kVARh,1,no,EC-3 Pump,No
17-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,EC-3 Pump,No
17-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,EC-3 Pump,No
17-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,EC-3 Pump,No
17-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,EC-3 Pump,No
17-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,EC-3 Pump,No
17-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,EC-3 Pump,No
17-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,EC-3 Pump,No
17-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,EC-3 Pump,No
17-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,EC-3 Pump,No
17-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,EC-3 Pump,No
17-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,EC-3 Pump,No
17-61,Watt Demand Element,Numeric,kW,1,no,EC-3 Pump,No
